"Name","Url","Path","VisitCount"
"CAD 工作室 - 文件和实用程序 - 下载","https://www.cadstudio.cz/en/download.asp","bookmark_bar > 收藏夹栏 > 每日一观","2"
"全国遥遥领先的建筑工程资料库-筑龙论坛精华资料馆","https://www.zhulong.com/bbs/down","bookmark_bar > 收藏夹栏 > 每日一观","52"
"cad自学网","https://www.cadzxw.com/","bookmark_bar > 收藏夹栏 > 每日一观","224"
"小众技术工具库 | 专注分享实用软件和精品网站","https://www.xiaozhongjishu.com/","bookmark_bar > 收藏夹栏 > 每日一观","6"
"网站任意门 - 发现你最爱的网站","https://gate.ofo.moe/","bookmark_bar > 收藏夹栏 > 每日一观","0"
"异次元软件世界 - 软件改变生活！","https://www.iplaysoft.com/","bookmark_bar > 收藏夹栏 > 每日一观","3"
"中国数字科技馆","https://www.cdstm.cn/","bookmark_bar > 收藏夹栏 > 每日一观","1"
"土木在线网_土木工程网站_土木工程师职业成长家园！","https://www.co188.com/","bookmark_bar > 收藏夹栏 > 每日一观","8"
"工程随身宝","https://worksatlas.com/#/index","bookmark_bar > 收藏夹栏 > 每日一观","27"
"图欧学习资源库","https://tuostudy.com/","bookmark_bar > 收藏夹栏 > 每日一观","2"
"商务部业务系统统一平台","http://bfqc.scjss.mofcom.gov.cn/","bookmark_bar > 收藏夹栏 > 每日一观","4"
"XU5设计软件库丨xu5.cc","https://www.xu5.cc/","bookmark_bar > 收藏夹栏 > 每日一观","4"
"国家标准 - 全国标准信息公共服务平台","https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7C970D3A7E05397BE0A0AB82A","bookmark_bar > 收藏夹栏 > 每日一观","1"
"欢迎 • freemediaheckyeah","https://fmhy.net/","bookmark_bar > 收藏夹栏 > 每日一观","2"
"数码荔枝 - 专注于分享最新鲜优秀的正版软件","https://www.lizhi.io/","bookmark_bar > 收藏夹栏 > 软件商城","4"
"所有商品","https://www.aiviy.com/search?keyword=&cate=0&page=1&sort=date-asc&tag=&pid=291","bookmark_bar > 收藏夹栏 > 软件商城","5"
"个人中心","https://apsgo.com/my-account","bookmark_bar > 收藏夹栏 > 软件商城","114"
"艾维商城(AIVIY.COM) - 正版软件商城 - 品质保障、服务周全、轻松购物!","https://www.aiviy.com/","bookmark_bar > 收藏夹栏 > 软件商城","3"
"谷歌账号购买-谷歌邮箱批发 - Gmail邮箱账号自助购买平台","https://gmailbuy.com/","bookmark_bar > 收藏夹栏 > 软件商城","4"
"常青藤软件工作室","http://www.icqt.net/","bookmark_bar > 收藏夹栏 > 公司处理 > cad装机套装","5"
"赫思CAD - 赫思CAD室内设计施工图深化软件","https://www.hesicad.com/index.html","bookmark_bar > 收藏夹栏 > 公司处理 > cad装机套装","1"
"I'm QQ - 每一天，乐在沟通","https://im.qq.com/index","bookmark_bar > 收藏夹栏 > 公司处理 > cad装机套装","0"
"微信 Windows 版","https://windows.weixin.qq.com/?lang=zh_CN","bookmark_bar > 收藏夹栏 > 公司处理 > cad装机套装","0"
"金山办公-支持多人在线协作编辑Word、Excel和PPT文档_WPS官方网站","https://www.wps.cn/","bookmark_bar > 收藏夹栏 > 公司处理 > cad装机套装","0"
"百度网盘","https://pan.baidu.com/disk/main?_at_=1668470378917#/index?category=all","bookmark_bar > 收藏夹栏 > 公司处理 > cad装机套装","0"
"Listary – File Search & App Launcher","https://www.listary.com/","bookmark_bar > 收藏夹栏 > 公司处理 > cad装机套装","0"
"白描App - 白描官网|简洁高效的OCR文字识别与文件扫描软件|拍照取字方便快捷","https://baimiao.uzero.cn/","bookmark_bar > 收藏夹栏 > 公司处理 > cad装机套装","0"
"小葛CAD工具箱","https://hh.lux-xul.com/","bookmark_bar > 收藏夹栏 > 公司处理 > cad装机套装","0"
